"Date","Region","No. of Stations","Avg. SWC","% of April 1","% of Normal"
"05/31/2023","STATE","86","22.7","92","311"
"05/30/2023","STATE","86","23.6","96","310"
"05/29/2023","STATE","87","24.5","99","307"
"05/28/2023","STATE","89","25.9","105","313"
"05/27/2023","STATE","89","27.0","109","313"
"05/26/2023","STATE","87","28.1","114","317"
"05/25/2023","STATE","88","28.9","118","316"
"05/24/2023","STATE","88","30.1","122","315"
"05/23/2023","STATE","89","31.8","127","316"
"05/22/2023","STATE","89","33.2","133","319"
"05/21/2023","STATE","89","34.4","138","319"
"05/20/2023","STATE","89","36.1","144","323"
"05/19/2023","STATE","89","37.4","150","325"
"05/18/2023","STATE","89","38.7","154","324"
"05/17/2023","STATE","88","39.5","158","324"
"05/16/2023","STATE","88","40.6","163","326"
"05/15/2023","STATE","89","42.3","169","329"
"05/14/2023","STATE","88","43.0","173","325"
"05/13/2023","STATE","89","44.8","179","327"
"05/12/2023","STATE","89","45.8","183","324"
"05/11/2023","STATE","89","46.6","186","320"
"05/10/2023","STATE","89","47.0","188","314"
"05/09/2023","STATE","89","47.3","189","307"
"05/08/2023","STATE","89","47.6","190","301"
"05/07/2023","STATE","90","48.0","191","294"
"05/06/2023","STATE","90","47.8","190","285"
"05/05/2023","STATE","90","47.8","190","277"
"05/04/2023","STATE","90","47.9","191","272"
"05/03/2023","STATE","89","47.9","191","265"
"05/02/2023","STATE","90","48.5","192","261"
"05/01/2023","STATE","90","49.3","195","258"
"04/30/2023","STATE","90","50.2","199","258"
"04/29/2023","STATE","90","51.3","203","259"
"04/28/2023","STATE","91","52.7","207","258"
"04/27/2023","STATE","87","53.2","208","254"
"04/26/2023","STATE","87","54.0","211","253"
"04/25/2023","STATE","88","54.8","215","254"
"04/24/2023","STATE","88","55.7","219","255"
"04/23/2023","STATE","88","56.3","221","254"
"04/22/2023","STATE","88","57.0","224","255"
"04/21/2023","STATE","88","57.5","226","253"
"04/20/2023","STATE","88","57.7","227","252"
"04/19/2023","STATE","88","57.8","227","249"
"04/18/2023","STATE","89","58.0","228","248"
"04/17/2023","STATE","91","58.7","229","247"
"04/16/2023","STATE","91","59.1","231","248"
"04/15/2023","STATE","92","59.2","232","248"
"04/14/2023","STATE","92","59.5","233","247"
