Category: All categories

Day,unemployment: (United States),stimulus check: (United States),zoom: (United States),bread recipe: (United States),animal crossing: (United States)
2020-01-01,1,0,1,1,<1
2020-01-02,2,0,1,1,<1
2020-01-03,2,0,1,1,<1
2020-01-04,1,0,1,1,<1
2020-01-05,3,<1,1,1,<1
2020-01-06,3,<1,1,<1,<1
2020-01-07,3,<1,1,1,<1
2020-01-08,2,0,1,<1,<1
2020-01-09,2,<1,1,1,<1
2020-01-10,2,0,1,1,<1
2020-01-11,1,0,1,1,<1
2020-01-12,2,<1,1,1,<1
2020-01-13,3,0,1,1,<1
2020-01-14,3,<1,1,<1,<1
2020-01-15,2,<1,1,<1,<1
2020-01-16,2,<1,2,<1,<1
2020-01-17,2,<1,1,1,<1
2020-01-18,1,0,1,1,<1
2020-01-19,2,0,1,1,<1
2020-01-20,3,0,1,1,<1
2020-01-21,3,<1,1,1,<1
2020-01-22,3,<1,1,<1,<1
2020-01-23,2,<1,1,<1,<1
2020-01-24,2,0,1,<1,<1
2020-01-25,1,<1,1,1,<1
2020-01-26,2,<1,1,1,<1
2020-01-27,3,0,1,1,<1
2020-01-28,2,<1,1,1,1
2020-01-29,2,0,1,1,<1
2020-01-30,2,<1,1,<1,<1
2020-01-31,2,0,1,1,2
2020-02-01,1,0,1,1,1
2020-02-02,2,0,1,1,1
2020-02-03,3,0,1,<1,1
2020-02-04,2,0,2,<1,1
2020-02-05,2,0,1,<1,1
2020-02-06,2,<1,1,<1,1
2020-02-07,2,<1,1,<1,1
2020-02-08,1,0,1,1,1
2020-02-09,2,<1,1,1,1
2020-02-10,3,<1,1,1,1
2020-02-11,2,<1,2,<1,1
2020-02-12,2,<1,2,<1,1
2020-02-13,2,0,2,<1,1
2020-02-14,2,<1,1,<1,1
2020-02-15,1,<1,1,1,1
2020-02-16,2,<1,1,1,1
2020-02-17,2,<1,1,1,1
2020-02-18,2,<1,2,<1,1
2020-02-19,2,<1,1,<1,1
2020-02-20,2,<1,1,<1,2
2020-02-21,2,<1,1,<1,2
2020-02-22,1,<1,1,1,2
2020-02-23,2,0,1,1,2
2020-02-24,3,0,1,<1,1
2020-02-25,2,<1,1,<1,1
2020-02-26,2,0,2,<1,1
2020-02-27,2,<1,2,<1,1
2020-02-28,1,<1,2,<1,1
2020-02-29,1,0,1,1,1
2020-03-01,2,<1,1,1,2
2020-03-02,2,<1,2,1,1
2020-03-03,2,<1,2,<1,1
2020-03-04,2,0,2,<1,1
2020-03-05,2,0,2,<1,1
2020-03-06,2,<1,2,<1,1
2020-03-07,1,0,1,1,1
2020-03-08,2,0,1,1,2
2020-03-09,3,<1,2,<1,1
2020-03-10,2,<1,3,<1,1
2020-03-11,2,<1,4,<1,1
2020-03-12,2,<1,5,1,2
2020-03-13,3,<1,6,1,3
2020-03-14,2,<1,4,1,3
2020-03-15,4,<1,5,1,3
2020-03-16,13,<1,11,1,3
2020-03-17,18,3,12,2,3
2020-03-18,21,9,15,1,3
2020-03-19,22,9,17,2,6
2020-03-20,25,9,18,1,18
2020-03-21,17,7,13,3,23
2020-03-22,19,8,16,3,23
2020-03-23,33,9,27,2,18
2020-03-24,28,7,28,2,17
2020-03-25,32,14,28,2,17
2020-03-26,41,12,28,2,17
2020-03-27,38,12,27,2,16
2020-03-28,30,14,20,3,19
2020-03-29,33,9,21,3,21
2020-03-30,50,7,31,2,16
2020-03-31,49,8,31,2,16
2020-04-01,45,8,33,2,16
2020-04-02,49,11,33,2,15
2020-04-03,43,9,31,2,14
2020-04-04,29,7,21,3,17
2020-04-05,34,7,21,3,18
2020-04-06,47,8,28,2,14
2020-04-07,44,8,27,2,14
2020-04-08,40,9,26,2,13
2020-04-09,43,13,25,2,13
2020-04-10,38,15,20,3,13
2020-04-11,26,19,17,4,15
2020-04-12,32,17,21,3,16
2020-04-13,53,35,21,2,12
2020-04-14,46,44,23,2,12
2020-04-15,44,100,23,2,12
2020-04-16,39,72,23,2,12
2020-04-17,34,51,21,2,12
2020-04-18,25,39,16,3,14
2020-04-19,39,26,15,3,15
2020-04-20,46,29,20,2,11
2020-04-21,42,27,21,2,12
2020-04-22,38,26,22,2,12
2020-04-23,36,23,22,2,13
2020-04-24,31,23,19,2,12
2020-04-25,23,19,13,2,14
2020-04-26,37,18,13,2,16
2020-04-27,46,23,18,2,12
2020-04-28,40,22,19,2,12
2020-04-29,34,22,19,1,11
